transaction_id,client_id,transaction_date,amount,transaction_type,location,device_type,is_fraud,location_type,currency
TRANS_1,CLIENTE_722,2020-10-09 03:34:03,279.44,retiro,"De (Guanacaste, Cañas) hacia (Puntarenas, Buenos Aires)",tableta,0,Nacional,USD
TRANS_2,CLIENTE_1693,2020-02-15 17:39:36,572.66,retiro,"De (Alajuela, Palmares) hacia (Limón, Talamanca)",desconocido,0,Nacional,USD
TRANS_3,CLIENTE_1105,2020-03-25 12:01:28,16227.15,depósito,"De (Guanacaste, Nicoya) hacia (Alajuela, Alajuela)",cajero automático,0,Nacional,USD
TRANS_4,CLIENTE_439,2021-12-02 06:54:46,4665.99,transferencia,"De (Guanacaste, Liberia) hacia (Puntarenas, Buenos Aires)",móvil,0,Nacional,USD
TRANS_5,CLIENTE_2178,2020-03-16 01:33:17,192.46,pago,"De (Puntarenas, Aguirre) hacia (Bulgaria, Sofía)",tableta,0,Internacional,USD
TRANS_6,CLIENTE_1868,2021-01-16 21:03:19,620.99,retiro,"De (Cartago, Turrialba) hacia (Cartago, Alvarado)",dispositivo_sospechoso,0,Nacional,USD
TRANS_7,CLIENTE_2124,2023-03-20 11:26:18,14299.57,compra,"De (Alajuela, Palmares) hacia (Guanacaste, Cañas)",POS,1,Nacional,USD
TRANS_8,CLIENTE_2162,2022-03-15 15:59:42,220.6,pago,"De (Puntarenas, Coto Brus) hacia (Alajuela, Naranjo)",cajero automático,0,Nacional,USD
TRANS_9,CLIENTE_1874,2023-03-17 08:44:22,26.26,compra,"De (Puntarenas, Puntarenas) hacia (Cartago, La Unión)",móvil,0,Nacional,USD
TRANS_10,CLIENTE_2496,2022-07-22 12:15:09,207.72,compra,"De (Alajuela, Grecia) hacia (Heredia, Belén)",dispositivo_sospechoso,0,Nacional,USD
TRANS_11,CLIENTE_493,2021-06-15 17:17:58,388.42,pago,"De (Alajuela, Palmares) hacia (Alajuela, Zarcero)",cajero automático,0,Nacional,USD
TRANS_12,CLIENTE_2033,2021-12-10 06:03:40,1895.97,transferencia,"De (Guanacaste, Abangares) hacia (Limón, Limón)",POS,0,Nacional,USD
