id_sensor,Use_time,datetime
sensor_1327,88,2024-07-05 17:35:01
sensor_2862,157,2024-10-10 02:57:02
sensor_1493,69,2024-04-03 21:05:56
sensor_2337,49,2024-06-22 05:31:25
sensor_9839,59,2024-06-01 09:38:19
sensor_5569,89,2024-02-04 18:33:19
sensor_2451,65,2024-03-06 19:53:07
sensor_9568,132,2024-02-15 07:37:49
sensor_845,139,2024-03-16 06:13:29
sensor_5501,68,2024-10-27 22:33:09
sensor_9461,146,2024-05-29 16:01:23
sensor_3748,125,2024-03-03 12:28:31
sensor_14909,46,2024-06-22 17:42:42
sensor_6112,56,2024-09-17 11:36:41
sensor_1098,130,2024-07-12 22:44:13
sensor_7128,97,2024-05-11 09:19:53
sensor_8134,77,2024-04-30 14:23:42
sensor_11637,72,2024-04-17 23:01:36
sensor_1442,36,2024-05-15 11:50:02
sensor_553,22,2024-08-21 07:57:17
sensor_9492,114,2024-03-01 04:28:19
sensor_4670,147,2024-05-14 15:17:42
sensor_12390,152,2024-06-03 09:15:38
sensor_13249,57,2024-02-10 08:02:57
sensor_12959,84,2024-04-26 21:38:54
sensor_11198,68,2024-04-12 14:10:24
sensor_75,54,2024-10-15 19:01:09
sensor_4286,29,2024-06-20 14:04:46
sensor_6597,146,2024-04-04 10:09:19
sensor_4626,143,2024-01-02 12:20:23
sensor_5845,130,2024-03-01 12:02:38
sensor_12883,80,2024-02-25 01:24:36
sensor_3115,87,2024-03-18 22:16:11
sensor_11667,29,2024-01-27 20:40:59
sensor_2061,136,2024-06-03 23:17:08
sensor_396,152,2024-09-01 08:30:53
sensor_12858,28,2024-06-25 18:56:04
sensor_4758,47,2024-03-24 22:11:40
sensor_9438,47,2024-01-05 04:32:19
sensor_9207,143,2024-09-23 00:19:54
sensor_12891,99,2024-07-16 10:50:31
sensor_5921,133,2024-02-19 22:24:49
sensor_8026,160,2024-06-18 17:03:57
sensor_8473,89,2024-02-05 11:27:20
sensor_4826,107,2024-01-09 10:21:45
sensor_1991,127,2024-08-15 04:28:10
sensor_5005,148,2024-07-31 15:34:33
sensor_12015,67,2024-05-20 01:12:50
sensor_11567,132,2024-11-11 04:45:09
sensor_12042,152,2024-01-15 05:32:51
sensor_4464,95,2024-02-26 09:27:33
sensor_12544,160,2024-10-16 10:00:26
sensor_3021,117,2024-06-14 04:18:07
sensor_2976,131,2024-06-01 10:15:14
sensor_4711,145,2024-07-06 14:24:15
sensor_14824,67,2024-07-31 06:41:01
sensor_11633,26,2024-08-20 14:17:11
sensor_6670,81,2024-09-23 15:54:17
sensor_4043,153,2024-07-06 19:12:01
sensor_749,108,2024-01-07 22:43:02
sensor_351,157,2024-03-21 01:46:43
sensor_14076,33,2024-02-11 09:24:32
sensor_11178,139,2024-04-13 11:18:05
sensor_11901,52,2024-04-08 20:04:20
sensor_8135,66,2024-03-06 15:25:58
sensor_4574,79,2024-09-03 12:48:19
sensor_6257,104,2024-11-04 01:00:08
sensor_10975,138,2024-05-23 18:22:30
sensor_12130,59,2024-02-13 02:16:52
sensor_727,158,2024-10-07 06:44:44
sensor_12721,139,2024-10-29 18:22:07
sensor_5035,47,2024-07-12 01:58:43
sensor_14101,45,2024-03-25 07:14:57
sensor_12061,120,2024-04-06 15:16:02
sensor_1082,128,2024-08-01 06:28:40
sensor_12666,59,2024-06-20 08:33:20
sensor_12561,109,2024-03-02 01:51:14
sensor_8136,32,2024-06-15 21:13:47
sensor_11253,102,2024-08-12 23:01:20
sensor_2989,68,2024-09-02 12:04:54
sensor_6551,131,2024-08-05 02:36:31
sensor_6255,110,2024-05-01 06:39:08
sensor_4268,127,2024-07-25 14:09:29
sensor_8620,71,2024-09-21 03:09:39
sensor_6372,116,2024-09-06 00:02:09
sensor_9368,84,2024-11-15 14:29:58
sensor_136,93,2024-09-15 00:47:02
sensor_935,62,2024-03-25 11:12:10
sensor_11757,42,2024-08-23 22:32:40
sensor_9134,31,2024-02-01 09:26:16
sensor_10188,66,2024-02-19 09:56:09
sensor_14826,151,2024-02-23 05:33:50
sensor_4464,32,2024-05-09 14:08:11
sensor_1787,39,2024-02-28 01:48:07
sensor_7616,135,2024-09-09 00:40:08
sensor_12636,121,2024-06-25 08:07:35
sensor_2387,135,2024-07-06 12:06:22
sensor_14745,79,2024-02-09 22:30:25
sensor_6030,119,2024-01-01 21:06:01
sensor_1095,101,2024-03-17 19:07:48
sensor_8541,119,2024-01-31 08:43:58
sensor_7433,110,2024-03-30 14:12:05
sensor_11950,160,2024-04-18 13:12:04
sensor_7882,153,2024-08-29 23:54:28
sensor_7284,124,2024-08-17 05:06:22
sensor_10604,148,2024-10-01 12:50:03
