invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons;;,cluster
INV-33179700135,2021-01-04,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11.0,BUENA VIST,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64870.0,Fireball Cinnamon Whiskey,48.0,100.0,0.9,1.35,48.0,64.8,4.8,1.26;;,1.0
INV-33196200106,2021-01-04,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001.0,POINT (-90.666497 42.49721900000001),31.0,DUBUQUE,1081200.0,Cream Liqueurs,300.0,McCormick Distilling Co.,65200.0,Tequila Rose Liqueur,12.0,750.0,11.5,17.25,4.0,69.0,3.0,0.79;;,2.0
INV-33184300011,2021-01-04,2539,Hy-Vee Food Store / Iowa Falls,640 S. Oak,Iowa Falls,50126.0,POINT (-93.262364 42.508752),42.0,HARDIN,1031100.0,American Vodkas,260.0,DIAGEO AMERICAS,38008.0,Smirnoff 80prf PET,6.0,1750.0,14.75,22.13,6.0,132.78,10.5,2.77;;,3.0
INV-33184100015,2021-01-04,4024,Wal-Mart 1546 / Iowa Falls,840 S Oak,Iowa Falls,50126.0,POINT (-93.262446 42.503407),42.0,HARDIN,1031100.0,American Vodkas,55.0,SAZERAC NORTH AMERICA,36648.0,Caliber Vodka,12.0,750.0,3.31,4.97,12.0,59.64,9.0,2.37;;,3.0
INV-33174200025,2021-01-04,5385,Vine Food & Liquor,2704 Vine St.,West Des Moines,50265.0,POINT (-93.741511 41.580206),77.0,POLK,1012200.0,Scotch Whiskies,260.0,DIAGEO AMERICAS,4626.0,Buchanan Deluxe 12YR,12.0,750.0,20.99,31.49,2.0,62.98,1.5,0.39;;,1.0
INV-33197500003,2021-01-04,4228,Fareway Stores #462 / Vinton,501 A Ave,Vinton,52349.0,POINT (-92.025603 42.166166),6.0,BENTON,1032100.0,Imported Vodkas,370.0,PERNOD RICARD USA,34006.0,Absolut Swedish Vodka 80prf,12.0,750.0,9.99,14.99,12.0,179.88,9.0,2.37;;,0.0
INV-33197200010,2021-01-04,2713,Hy-Vee Dyersville Dollar Fresh,1201 12th Ave SE,Dyersville,52040.0,POINT (-91.110798 42.475283),31.0,DUBUQUE,1031100.0,American Vodkas,434.0,LUXCO INC,36308.0,Hawkeye Vodka,6.0,1750.0,7.17,10.76,6.0,64.56,10.5,2.77;;,2.0
INV-33174600126,2021-01-04,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265.0,POINT (-93.773557 41.561197),77.0,POLK,1012200.0,Scotch Whiskies,260.0,DIAGEO AMERICAS,5318.0,Johnnie Walker Double Black,6.0,750.0,24.05,36.08,6.0,216.48,4.5,1.18;;,1.0
INV-33202000002,2021-01-04,5735,Super Saver Liquor -Muscatine,1510 A Isett Avenue,Muscatine,52761.0,POINT (-91.042755 41.440327),70.0,MUSCATINE,1091300.0,Neutral Grain Spirits Flavored,346.0,OLE SMOKY DISTILLERY LLC,86739.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8.0,50.0,8.75,13.13,8.0,105.04,0.4,0.1;;,3.0
INV-33176800008,2021-01-04,4449,Kum & Go #121 / Urbandale,12041 Douglas Pkwy,Urbandale,50322.0,POINT (-93.782998 41.62962),77.0,POLK,1062500.0,Flavored Rum,35.0,BACARDI USA INC,43051.0,Bacardi Dragon Berry,12.0,750.0,8.26,12.39,2.0,24.78,1.5,0.39;;,1.0
